symbol,name,price
BBMYB34.SA,Bristol-Myers Squibb Company,303.41
II1BN34.SA,ICICI Bank Limited,165.30
MMELI34.SA,"MercadoLibre, Inc.",96.85
BB1AM34.SA,Brookfield Corporation,64.61
AADPR34.SA,"Automatic Data Processing, Inc.",58.88
CCMCS34.SA,Comcast Corporation,29.98
MM1CK34.SA,McKesson Corporation,"1,115.51"
GG1SK34.SA,GSK plc,54.95
CCVSH34.SA,CVS Health Corporation,43.60
SS1NP34.SA,"Synopsys, Inc.",703.87
SSBUB34.SA,Starbucks Corporation,470.34
DD2AS34.SA,"DoorDash, Inc.",83.43
TT1SO34.SA,The Southern Company,470.47
GGDBR34.SA,General Dynamics Corporation,"1,951.64"
CCHME34.SA,CME Group Inc.,361.15
MMCOR34.SA,Moody's Corporation,721.66
NNIKE34.SA,"NIKE, Inc.",34.25
MMOOO34.SA,"Altria Group, Inc.",294.90
MM1MC34.SA,"Marsh & McLennan Companies, Inc.",498.53
BB1CS34.SA,Barclays PLC,140.00
NNETE34.SA,"NetEase, Inc.",76.40
DDUKB34.SA,Duke Energy Corporation,624.64
UUPSS34.SA,"United Parcel Service, Inc.",35.47
CC1DN34.SA,"Cadence Design Systems, Inc.",865.84
WW1MC34.SA,"Waste Management, Inc.",585.54
MM1TT34.SA,"Marriott International, Inc.",432.40
MMMMC34.SA,3M Company,219.78
PPNCS34.SA,"The PNC Financial Services Group, Inc.",592.23
AARNC34.SA,Howmet Aerospace Inc.,"1,160.36"
RREGN34.SA,"Regeneron Pharmaceuticals, Inc.",73.14
UUSBC34.SA,U.S. Bancorp,73.91
RROXO34.SA,Nu Holdings Ltd.,15.78
NNOCG34.SA,Northrop Grumman Corporation,639.48
BBONY34.SA,The Bank of New York Mellon Corporation,649.35
II1RP34.SA,Trane Technologies plc,"1,026.72"
AAIRB34.SA,"Airbnb, Inc.",36.97
SS1HW34.SA,The Sherwin-Williams Company,179.46
SS2EA34.SA,Sea Limited,30.13
EE1MR34.SA,Emerson Electric Co.,787.77
RR1CL34.SA,Royal Caribbean Cruises Ltd.,812.90
EE1LV34.SA,"Elevance Health, Inc.",394.01
FFCXO34.SA,Freeport-McMoRan Inc.,99.71
IITUB4.SA,Itaú Unibanco Holding S.A.,39.49
DD1EL34.SA,Dell Technologies Inc.,646.50
IINGG34.SA,ING Groep N.V.,149.50
TT1OW34.SA,American Tower Corporation,38.36
SS2NW34.SA,Snowflake Inc.,31.48
RR1YA34.SA,Ryanair Holdings plc,51.26
NN1GG34.SA,National Grid plc,72.00
EE1CL34.SA,Ecolab Inc.,364.22
LL1YG34.SA,Lloyds Banking Group plc,29.01
TTXSA34.SA,Ternium S.A.,215.00
IITUB3.SA,Itaú Unibanco Holding S.A.,36.78
TT1DG34.SA,TransDigm Group Incorporated,148.37
II1FO34.SA,Infosys Limited,51.23
GG1LW34.SA,Corning Incorporated,478.22
EEQIX34.SA,"Equinix, Inc.",52.51
OORLY34.SA,"O'Reilly Automotive, Inc.",1.57
GGMCO34.SA,General Motors Company,110.40
CC1IC34.SA,The Cigna Group,385.31
JJ1CI34.SA,Johnson Controls International plc,619.74
CC1TA34.SA,Cintas Corporation,199.75
PPETR3.SA,Petróleo Brasileiro S.A. - Petrobras,31.19
MM1NS34.SA,Monster Beverage Corporation,51.26
WW1MB34.SA,"The Williams Companies, Inc.",327.68
PPETR4.SA,Petróleo Brasileiro S.A. - Petrobras,29.73
II1TW34.SA,Illinois Tool Works Inc.,337.64
NN1WG34.SA,NatWest Group plc,92.64
CC1CO34.SA,"Cencora, Inc.",921.00
QQ1UA34.SA,"Quanta Services, Inc.",198.40
HH1LT34.SA,Hilton Worldwide Holdings Inc.,66.64
WW1BD34.SA,"Warner Bros. Discovery, Inc.",153.03
SSIMN34.SA,"Simon Property Group, Inc.",249.51
BBPAC3.SA,Banco BTG Pactual S.A.,38.35
AA1JG34.SA,Arthur J. Gallagher & Co.,692.25
WW1DC34.SA,Western Digital Corporation,"1,086.46"
NN1SC34.SA,Norfolk Southern Corporation,391.38
TT1EL34.SA,TE Connectivity plc,619.29
MMSBR34.SA,Morgan Stanley,199.72
SS1TX34.SA,Seagate Technology Holdings plc,"1,660.00"
CCSXC34.SA,CSX Corporation,95.40
MMDLZ34.SA,"Mondelez International, Inc.",139.50
CC2OI34.SA,"Coinbase Global, Inc.",53.05
TTRVC34.SA,"The Travelers Companies, Inc.",48.76
SSLBG34.SA,SLB N.V.,114.23
AA1EP34.SA,"American Electric Power Company, Inc.",308.14
MM1SI34.SA,"Motorola Solutions, Inc.",511.65
CCNIC34.SA,Canadian National Railway Company,22.70
CCOLG34.SA,Colgate-Palmolive Company,59.58
AA1UT34.SA,"Autodesk, Inc.",396.61
RROST34.SA,"Ross Stores, Inc.",500.70
VVALE3.SA,Vale S.A.,76.19
FF1TN34.SA,"Fortinet, Inc.",216.73
KKMIC34.SA,"Kinder Morgan, Inc.",144.90
AA1FL34.SA,Aflac Incorporated,603.00
LL1HX34.SA,"L3Harris Technologies, Inc.",420.88
EE1QN34.SA,Equinor ASA,62.24
NN1DA34.SA,"Nasdaq, Inc.",271.43
UU1RI34.SA,"United Rentals, Inc.",170.50
EE1OG34.SA,"EOG Resources, Inc.",284.78
SS1RE34.SA,Sempra,116.76
BB1DX34.SA,"Becton, Dickinson and Company",211.27
VVLOE34.SA,Valero Energy Corporation,497.76
ZZ1TS34.SA,Zoetis Inc.,42.61
WW1DA34.SA,"Workday, Inc.",71.26
AA1PD34.SA,"Air Products and Chemicals, Inc.",338.30
PPYPL34.SA,"PayPal Holdings, Inc.",15.82
PP1SX34.SA,Phillips 66,368.61
AA1TT34.SA,The Allstate Corporation,46.80
II1DX34.SA,"IDEXX Laboratories, Inc.",740.10
AAZOI34.SA,"AutoZone, Inc.",80.61
FFDMO34.SA,Ford Motor Company,73.90
DD1LR34.SA,"Digital Realty Trust, Inc.",210.01
RR2BL34.SA,Roblox Corporation,41.08
CC1AH34.SA,"Cardinal Health, Inc.","1,130.00"
RR1IN34.SA,Realty Income Corporation,155.25
CCTGP34.SA,Citigroup Inc.,109.07
MM1PC34.SA,Marathon Petroleum Corporation,921.12
CC1MG34.SA,"Chipotle Mexican Grill, Inc.",10.44
AA1LN34.SA,"Alnylam Pharmaceuticals, Inc.",105.71
BBIDU34.SA,"Baidu, Inc.",56.63
CC1BR34.SA,"CBRE Group, Inc.",909.36
EEAIN34.SA,Electronic Arts Inc.,552.20
AA1RG34.SA,argenx SE,174.25
TTAKP34.SA,Takeda Pharmaceutical Company Limited,81.49
CCRIP34.SA,Trip.com Group Limited,411.50
DD1DG34.SA,"Datadog, Inc.",76.36
EE1WL34.SA,Edwards Lifesciences Corporation,113.82
DD1OM34.SA,"Dominion Energy, Inc.",155.40
HH1EI34.SA,HEICO Corporation,190.76
BB1KR34.SA,Baker Hughes Company,267.30
GG1WW34.SA,"W.W. Grainger, Inc.",138.32
OO1KE34.SA,"ONEOK, Inc.",205.30
PP1SA34.SA,Public Storage,292.32
AA1MP34.SA,"Ameriprise Financial, Inc.",687.36
AA1ME34.SA,"AMETEK, Inc.",46.80
DDEOP34.SA,Diageo plc,25.65
TT1TW34.SA,"Take-Two Interactive Software, Inc.",345.43
TTGTB34.SA,Target Corporation,558.32
BBPAC5.SA,Banco BTG Pactual S.A.,10.88
CC1TV34.SA,"Corteva, Inc.",92.15
XX1EL34.SA,Xcel Energy Inc.,199.52
EE1XC34.SA,Exelon Corporation,234.31
MM1SC34.SA,MSCI Inc.,72.45
CC1RR34.SA,Carrier Global Corporation,70.35
XX1YZ34.SA,"Block, Inc.",15.50
AAIGB34.SA,"American International Group, Inc.",419.58
JJDCO34.SA,"JD.com, Inc.",26.01
TT1AM34.SA,Atlassian Corporation,43.81
FF2NV34.SA,Franco-Nevada Corporation,6.57
CC1CL34.SA,Carnival Corporation & plc,172.59
II1QV34.SA,IQVIA Holdings Inc.,316.34
EEBAY34.SA,eBay Inc.,247.26
GG1FI34.SA,Gold Fields Limited,123.60
II1CE34.SA,"Intercontinental Exchange, Inc.",439.20
PP1DT34.SA,"Prudential Financial, Inc.",316.80
EE1TR34.SA,Entergy Corporation,248.25
DD1HI34.SA,"D.R. Horton, Inc.",753.33
OOXYP34.SA,Occidental Petroleum Corporation,36.99
KK1RC34.SA,The Kroger Co.,332.64
PP1UK34.SA,Prudential plc,42.60
FF1AN34.SA,"Diamondback Energy, Inc.",378.95
MM1CH34.SA,Microchip Technology Incorporated,198.39
AABEV3.SA,Ambev S.A.,13.68
GGEHC34.SA,GEHEALTHCAREDRN,50.01
AA1GI34.SA,"Agilent Technologies, Inc.",371.12
VV2EE34.SA,Veeva Systems Inc.,42.56
VV1MC34.SA,Vulcan Materials Company,26.26
NN1UE34.SA,Nucor Corporation,74.83
HHOND34.SA,"Honda Motor Co., Ltd.",157.90
UU1AL34.SA,"United Airlines Holdings, Inc.",315.63
EELCI34.SA,The Estée Lauder Companies Inc.,23.60
CC1PR34.SA,"Copart, Inc.",105.30
NNOKI34.SA,Nokia Oyj,36.70
CC1CI34.SA,Crown Castle Inc.,116.00
FF1IS34.SA,"Fiserv, Inc.",186.29
WWEGE3.SA,WEG S.A.,47.68
TT1EV34.SA,Teva Pharmaceutical Industries Limited,84.40
HHSHY34.SA,The Hershey Company,194.01
RR1MD34.SA,ResMed Inc.,335.67
AARMT34.SA,ArcelorMittal S.A.,128.56
VV1TA34.SA,"Ventas, Inc.",206.05
MM1DB34.SA,"MongoDB, Inc.",118.83
OO1DF34.SA,"Old Dominion Freight Line, Inc.",44.65
OO1TI34.SA,Otis Worldwide Corporation,48.16
BBBDC4.SA,Banco Bradesco S.A.,18.81
HH1PE34.SA,Hewlett Packard Enterprise Company,131.95
LL1YV34.SA,"Live Nation Entertainment, Inc.",159.20
WW1EC34.SA,"WEC Energy Group, Inc.",281.68
FF1NI34.SA,"Fidelity National Information Services, Inc.",22.22
BBBDC3.SA,Banco Bradesco S.A.,15.97
VV1OD34.SA,Vodafone Group Public Limited Company,37.52
BBPAC11.SA,Banco BTG Pactual S.A.,53.16
II1XC34.SA,ORIX Corporation,20.04
KKMBB34.SA,Kimberly-Clark Corporation,520.00
DDGCO34.SA,Dollar General Corporation,32.25
EE1RI34.SA,Telefonaktiebolaget LM Ericsson (publ),25.74
KK1BF34.SA,KB Financial Group Inc.,115.76
VV1RS34.SA,"Verisk Analytics, Inc.",15.60
AA1DM34.SA,Archer-Daniels-Midland Company,326.08
UU1LT34.SA,"Ulta Beauty, Inc.",175.95
DDLTR34.SA,"Dollar Tree, Inc.",352.15
SSANB11.SA,Banco Santander (Brasil) S.A.,33.10
NN1RG34.SA,"NRG Energy, Inc.",807.92
LL1EN34.SA,Lennar Corporation,558.02
CCHCM34.SA,"Charter Communications, Inc.",18.88
